administration_of_mode,comments,organization_id,report_by_id,reported_value,rollup_mode_id,transit_metric_id,transit_mode_id,year
Direct Operated,,33,,13378089,1,5,5,2013
Purchased Transportation,,33,,3226043,1,5,5,2013
Direct Operated,,33,,2373473,1,6,5,2013
Purchased Transportation,,33,,805886,1,6,5,2013
Direct Operated,,33,,240885,1,5,5,2013
Direct Operated,,33,,445.1,1,8,5,2013
Purchased Transportation,,33,,155.4,1,8,5,2013
Direct Operated,,33,,86570751,1,9,5,2013
Purchased Transportation,,33,,19529501,1,9,5,2013
Direct Operated,,33,,24098045,1,10,5,2013
Purchased Transportation,,33,,8503041,1,10,5,2013
Direct Operated,,33,,460377,1,1,5,2012
Purchased Transportation,,33,,91982,1,1,5,2012
Direct Operated,,33,,533642,1,2,5,2012
Purchased Transportation,,33,,138751,1,2,5,2012
Direct Operated,,33,,9087737,1,3,5,2012
Purchased Transportation,,33,,2444935,1,3,5,2012
Direct Operated,,33,,12304798,1,4,5,2012
Purchased Transportation,,33,,3287381,1,4,5,2012
Direct Operated,,33,,12544418,1,5,5,2012
Purchased Transportation,,33,,3467994,1,5,5,2012
Direct Operated,,33,,2357848,1,6,5,2012
Purchased Transportation,,33,,765428,1,6,5,2012
Direct Operated,,33,,233805,1,5,5,2012
Direct Operated,,33,,567.7,1,8,5,2012
Purchased Transportation,,33,,154.3,1,8,5,2012
Direct Operated,,33,,83703516,1,9,5,2012
Purchased Transportation,,33,,19021607,1,9,5,2012
Direct Operated,,33,,22719140,1,10,5,2012
Purchased Transportation,,33,,7932455,1,10,5,2012
Direct Operated,,33,,526495,1,1,5,2018
Purchased Transportation,,33,,117661,1,1,5,2018
Direct Operated,,33,,650988,1,2,5,2018
Purchased Transportation,,33,,151307,1,2,5,2018
Direct Operated,,33,,9434561,1,3,5,2018
Purchased Transportation,,33,,2530802,1,3,5,2018
Direct Operated,,33,,12943083,1,4,5,2018
Purchased Transportation,,33,,3443840,1,4,5,2018
Direct Operated,,33,,14456346,1,5,5,2018
Purchased Transportation,,33,,3732917,1,5,5,2018
Direct Operated,,33,,2411052,1,6,5,2018
Purchased Transportation,,33,,730086,1,6,5,2018
Direct Operated,,33,,366430,1,5,5,2018
Direct Operated,,33,,614.9,1,8,5,2018
Purchased Transportation,,33,,154.7,1,8,5,2018
Direct Operated,,33,,114920126,1,9,5,2018
Purchased Transportation,,33,,22055336,1,9,5,2018
Direct Operated,,33,,28180185,1,10,5,2018
Purchased Transportation,,33,,9514551,1,10,5,2018
Direct Operated,,29,,1134,1,1,5,2017
Direct Operated,,29,,1251,1,2,5,2017
Direct Operated,,29,,35347,1,3,5,2017
Direct Operated,,29,,35684,1,4,5,2017
Direct Operated,,29,,3093,1,5,5,2017
Direct Operated,,29,,3759,1,7,5,2017
Direct Operated,,29,,0.75,1,8,5,2017
Direct Operated,,29,,67034,1,9,5,2017
Direct Operated,,29,,6077,1,10,5,2017
Direct Operated,,29,,1634,1,1,5,2016
Direct Operated,,29,,2043,1,2,5,2016
Direct Operated,,29,,36337,1,3,5,2016
Direct Operated,,29,,36959,1,4,5,2016
Direct Operated,,29,,3329,1,5,5,2016
Direct Operated,,29,,3850,1,7,5,2016
Direct Operated,,29,,0.75,1,8,5,2016
Direct Operated,,29,,65100,1,9,5,2016
Direct Operated,,29,,4534,1,10,5,2016
Direct Operated,,29,,1122,1,1,5,2015
Direct Operated,,29,,1318,1,2,5,2015
Direct Operated,,29,,35496,1,3,5,2015
Direct Operated,,29,,37518,1,4,5,2015
Direct Operated,,29,,3051,1,5,5,2015
Direct Operated,,29,,3634,1,7,5,2015
Direct Operated,,29,,0.75,1,8,5,2015
Direct Operated,,29,,65000,1,9,5,2015
Direct Operated,,29,,5653,1,10,5,2015
Direct Operated,,29,,1345,1,1,5,2014
Direct Operated,,29,,1345,1,2,5,2014
Direct Operated,,29,,39287,1,3,5,2014
Direct Operated,,29,,39287,1,4,5,2014
Direct Operated,,29,,3036,1,5,5,2014
Direct Operated,,29,,4606,1,7,5,2014
Direct Operated,,29,,0.75,1,8,5,2014
Direct Operated,,29,,65116,1,9,5,2014
Direct Operated,,29,,5228,1,10,5,2014
Direct Operated,,29,,1421,1,1,5,2013
Direct Operated,,29,,1421,1,2,5,2013
Direct Operated,,29,,36844,1,3,5,2013
Direct Operated,,29,,36844,1,4,5,2013
Direct Operated,,29,,4447,1,5,5,2013
Direct Operated,,29,,6026,1,7,5,2013
Direct Operated,,29,,1.5,1,8,5,2013
Direct Operated,,29,,56375,1,9,5,2013
Direct Operated,,29,,4805,1,10,5,2013
Direct Operated,,29,,1254,1,1,5,2018
Direct Operated,,29,,1311,1,2,5,2018
Direct Operated,,29,,35951,1,3,5,2018
Direct Operated,,29,,36449,1,4,5,2018
Direct Operated,,29,,3275,1,5,5,2018
Direct Operated,,29,,2473,1,7,5,2018
Direct Operated,,29,,1,1,8,5,2018
Direct Operated,,29,,89064,1,9,5,2018
Direct Operated,,29,,5863,1,10,5,2018
Purchased Transportation,,27,,20000,1,9,5,2018
Purchased Transportation,,26,,4961,1,1,5,2017
Purchased Transportation,,26,,5234,1,2,5,2017
Purchased Transportation,,26,,144112,1,3,5,2017
Purchased Transportation,,26,,147640,1,4,5,2017
Purchased Transportation,,26,,24231,1,5,5,2017
Purchased Transportation,,26,,17901,1,6,5,2017
Purchased Transportation,,26,,5248,1,7,5,2017
Purchased Transportation,,26,,8,1,8,5,2017
Purchased Transportation,,26,,446461,1,9,5,2017
Purchased Transportation,,26,,119439,1,10,5,2017
Purchased Transportation,,26,,4830,1,1,5,2016
Purchased Transportation,,26,,5142,1,2,5,2016
Purchased Transportation,,26,,140974,1,3,5,2016
Purchased Transportation,,26,,149038,1,4,5,2016
Purchased Transportation,,26,,23845,1,5,5,2016
Purchased Transportation,,26,,5308,1,6,5,2016
Purchased Transportation,,26,,2427,1,7,5,2016
Purchased Transportation,,26,,7,1,8,5,2016
Purchased Transportation,,26,,479397,1,9,5,2016
Purchased Transportation,,26,,72776,1,10,5,2016
Purchased Transportation,,26,,4792,1,1,5,2015
Purchased Transportation,,26,,5094,1,2,5,2015
Purchased Transportation,,26,,144363,1,3,5,2015
Purchased Transportation,,26,,148844,1,4,5,2015
Purchased Transportation,,26,,28396,1,5,5,2015
Purchased Transportation,,26,,20429,1,6,5,2015
Purchased Transportation,,26,,5,1,8,5,2015
Purchased Transportation,,26,,587415,1,9,5,2015
Purchased Transportation,,26,,140695,1,10,5,2015
Purchased Transportation,,26,,2540,1,1,5,2014
Purchased Transportation,,26,,2706,1,2,5,2014
Purchased Transportation,,26,,75640,1,3,5,2014
Purchased Transportation,,26,,78122,1,4,5,2014
Purchased Transportation,,26,,13521,1,5,5,2014
Purchased Transportation,,26,,19211,1,6,5,2014
Purchased Transportation,,26,,5,1,8,5,2014
Purchased Transportation,,26,,288845,1,9,5,2014
Purchased Transportation,,26,,158362,1,10,5,2014
Purchased Transportation,,26,,5254,1,1,5,2018
Purchased Transportation,,26,,5507,1,2,5,2018
Purchased Transportation,,26,,155997,1,3,5,2018
Purchased Transportation,,26,,159031,1,4,5,2018
Purchased Transportation,,26,,25322,1,5,5,2018
Purchased Transportation,,26,,11294,1,6,5,2018
Purchased Transportation,,26,,6485,1,7,5,2018
Purchased Transportation,,26,,7,1,8,5,2018
Purchased Transportation,,26,,531231,1,9,5,2018
Purchased Transportation,,26,,202748,1,10,5,2018
Direct Operated,,21,,12141,1,1,5,2017
Direct Operated,,21,,12944,1,2,5,2017
Direct Operated,,21,,381176,1,3,5,2017
Direct Operated,,21,,402128,1,4,5,2017
Direct Operated,,21,,112563,1,5,5,2017
Direct Operated,,21,,56957,1,6,5,2017
Direct Operated,,21,,8.74,1,8,5,2017
Direct Operated,,21,,1174798,1,9,5,2017
Direct Operated,,21,,99916,1,10,5,2017
Direct Operated,,21,,10833,1,1,5,2016
Direct Operated,,21,,11606,1,2,5,2016
Direct Operated,,21,,333546,1,3,5,2016
Direct Operated,,21,,359589,1,4,5,2016
Direct Operated,,21,,116348,1,5,5,2016
Direct Operated,,21,,50459,1,6,5,2016
Direct Operated,,21,,9.5,1,8,5,2016
Direct Operated,,21,,1135743,1,9,5,2016
Direct Operated,,21,,107963,1,10,5,2016
Direct Operated,,21,,10802,1,1,5,2015
Direct Operated,,21,,11578,1,2,5,2015
Direct Operated,,21,,338587,1,3,5,2015
Direct Operated,,21,,358731,1,4,5,2015
Direct Operated,,21,,133350,1,5,5,2015
Direct Operated,,21,,51075,1,6,5,2015
Direct Operated,,21,,10.8,1,8,5,2015
Direct Operated,,21,,1378382,1,9,5,2015
Direct Operated,,21,,123823,1,10,5,2015
Direct Operated,,21,,9392,1,1,5,2014
Direct Operated,,21,,10062,1,2,5,2014
Direct Operated,,21,,303360,1,3,5,2014
Direct Operated,,21,,317843,1,4,5,2014
Direct Operated,,21,,134063,1,5,5,2014
Direct Operated,,21,,52384,1,6,5,2014
Direct Operated,,21,,6.7,1,8,5,2014
Direct Operated,,21,,1060697,1,9,5,2014
Direct Operated,,21,,129635,1,10,5,2014
Direct Operated,,21,,7536,1,1,5,2013
Direct Operated,,21,,8131,1,2,5,2013
Direct Operated,,21,,259160,1,3,5,2013
Direct Operated,,21,,266746,1,4,5,2013
Direct Operated,,21,,109897,1,5,5,2013
Direct Operated,,21,,51820,1,6,5,2013
Direct Operated,,21,,7.3,1,8,5,2013
Direct Operated,,21,,909728,1,9,5,2013
Direct Operated,,21,,152964,1,10,5,2013
Direct Operated,,21,,7235,1,1,5,2012
Direct Operated,,21,,7983,1,2,5,2012
Direct Operated,,21,,246872,1,3,5,2012
Direct Operated,,21,,258344,1,4,5,2012
Direct Operated,,21,,114746,1,5,5,2012
Direct Operated,,21,,47975,1,6,5,2012
Direct Operated,,21,,8,1,8,5,2012
Direct Operated,,21,,802467,1,9,5,2012
Direct Operated,,21,,67130,1,10,5,2012
Direct Operated,,21,,15206,1,1,5,2018
Direct Operated,,21,,16160,1,2,5,2018
Direct Operated,,21,,464843,1,3,5,2018
Direct Operated,,21,,491359,1,4,5,2018
Direct Operated,,21,,139223,1,5,5,2018
Direct Operated,,21,,64657,1,6,5,2018
Direct Operated,,21,,15.32,1,8,5,2018
Direct Operated,,21,,1756969,1,9,5,2018
Direct Operated,,21,,106833,1,10,5,2018
Direct Operated,,18,,3715,1,1,5,2017
Direct Operated,,18,,3715,1,2,5,2017
Direct Operated,,18,,112828,1,3,5,2017
Direct Operated,,18,,112828,1,4,5,2017
